[2026-01-04T10:40:27.715+08:00] resRect { left: 204, top: 640, width: 49, height: 54 }
[2026-01-04T10:40:34.900+08:00] resRect { left: 129, top: 715, width: 217, height: 46 }
[2026-01-04T10:40:42.219+08:00] resRect { left: 122, top: 715, width: 219, height: 43 }
[2026-01-04T10:41:57.717+08:00] resRect { left: 48, top: 514, width: 262, height: 48 }
[2026-01-04T10:42:11.578+08:00] resRect { left: 93, top: 640, width: 170, height: 53 }
[2026-01-04T10:42:19.038+08:00] resRect { left: 122, top: 714, width: 219, height: 43 }
[2026-01-04T10:42:23.712+08:00] resRect { left: 122, top: 625, width: 113, height: 30 }
[2026-01-04T10:42:29.282+08:00] resRect { left: 273, top: 686, width: 73, height: 27 }
[2026-01-04T10:42:36.174+08:00] resRect { left: 194, top: 633, width: 72, height: 69 }
[2026-01-04T10:42:43.839+08:00] resRect { left: 194, top: 640, width: 80, height: 58 }
[2026-01-04T10:42:51.376+08:00] resRect { left: 31, top: 327, width: 297, height: 37 }
[2026-01-04T10:43:02.940+08:00] resRect { left: 204, top: 643, width: 53, height: 51 }
[2026-01-04T10:43:10.229+08:00] resRect { left: 129, top: 715, width: 217, height: 46 }
[2026-01-04T10:43:18.319+08:00] resRect { left: 122, top: 715, width: 219, height: 43 }
[2026-01-04T10:43:25.424+08:00] resRect { left: 208, top: 539, width: 120, height: 38 }
[2026-01-04T10:43:33.614+08:00] resRect { left: 122, top: 716, width: 219, height: 42 }
[2026-01-04T10:43:40.653+08:00] resRect { left: 122, top: 625, width: 113, height: 28 }
[2026-01-04T10:44:00.139+08:00] resRect { left: 270, top: 725, width: 90, height: 54 }
[2026-01-04T10:49:51.868+08:00] resRect { left: 122, top: 714, width: 219, height: 42 }
[2026-01-04T10:49:56.380+08:00] resRect { left: 122, top: 625, width: 113, height: 28 }
[2026-01-04T10:50:01.481+08:00] resRect { left: 273, top: 686, width: 73, height: 27 }
[2026-01-04T10:50:08.647+08:00] resRect { left: 194, top: 633, width: 72, height: 69 }
[2026-01-04T10:50:15.556+08:00] resRect { left: 215, top: 640, width: 29, height: 57 }
[2026-01-04T10:50:22.865+08:00] resRect { left: 31, top: 327, width: 297, height: 37 }
[2026-01-04T10:50:34.325+08:00] resRect { left: 204, top: 643, width: 47, height: 51 }
[2026-01-04T10:50:41.219+08:00] resRect { left: 129, top: 715, width: 217, height: 46 }
[2026-01-04T10:50:48.267+08:00] resRect { left: 122, top: 714, width: 219, height: 44 }
[2026-01-04T10:50:55.244+08:00] resRect { left: 208, top: 539, width: 120, height: 38 }
[2026-01-04T10:51:02.433+08:00] resRect { left: 122, top: 714, width: 219, height: 42 }
[2026-01-04T10:51:09.233+08:00] resRect { left: 122, top: 628, width: 113, height: 20 }
[2026-01-04T10:51:28.018+08:00] resRect { left: 270, top: 724, width: 90, height: 55 }
[2026-01-04T10:58:43.770+08:00] resRect { left: 0, top: 721, width: 90, height: 58 }
[2026-01-04T10:58:49.072+08:00] resRect { left: 27, top: 85, width: 54, height: 74 }
[2026-01-04T10:58:54.976+08:00] resRect { left: 266, top: 625, width: 63, height: 77 }
[2026-01-04T10:59:01.873+08:00] resRect { left: 0, top: 90, width: 89, height: 93 }
[2026-01-04T11:11:55.380+08:00] resRect { left: 0, top: 722, width: 89, height: 57 }
[2026-01-04T11:12:00.286+08:00] resRect { left: 27, top: 85, width: 54, height: 74 }
[2026-01-04T11:12:06.320+08:00] resRect { left: 266, top: 633, width: 63, height: 66 }
[2026-01-04T11:12:13.585+08:00] resRect { left: 0, top: 90, width: 89, height: 93 }
[2026-01-04T11:14:04.709+08:00] resRect { left: 306, top: 42, width: 31, height: 24 }
[2026-01-04T11:15:46.456+08:00] resRect { left: 306, top: 42, width: 35, height: 26 }
[2026-01-04T14:45:28.614+08:00] resRect { left: 50, top: 514, width: 260, height: 48 }
[2026-01-04T14:45:42.282+08:00] resRect { left: 93, top: 640, width: 171, height: 51 }
[2026-01-04T14:45:49.119+08:00] resRect { left: 122, top: 716, width: 219, height: 42 }
[2026-01-04T14:45:54.120+08:00] resRect { left: 122, top: 628, width: 112, height: 27 }
[2026-01-04T14:45:59.143+08:00] resRect { left: 273, top: 687, width: 73, height: 26 }
[2026-01-04T14:46:05.720+08:00] resRect { left: 194, top: 632, width: 80, height: 70 }
[2026-01-04T14:46:12.904+08:00] resRect { left: 194, top: 633, width: 80, height: 69 }
[2026-01-04T14:46:19.906+08:00] resRect { left: 31, top: 327, width: 298, height: 40 }
[2026-01-04T14:46:31.028+08:00] resRect { left: 202, top: 639, width: 51, height: 55 }
[2026-01-04T14:46:38.322+08:00] resRect { left: 129, top: 718, width: 219, height: 42 }
[2026-01-04T14:46:45.289+08:00] resRect { left: 122, top: 715, width: 219, height: 43 }
[2026-01-04T14:46:52.052+08:00] resRect { left: 208, top: 540, width: 121, height: 37 }
[2026-01-04T14:46:59.042+08:00] resRect { left: 122, top: 718, width: 219, height: 39 }
